"Wish List", "Add to Wish List"
"Compare", "Add to Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Shop By","Filter"
"Remove item", "Remove"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"We Found Other Products You Might Like!", "You may also be interested in the following product(s)"
"My Cart", "Cart"
"Clear Shopping Cart", "Empty Cart"
"Order Total", "Grand Total"
"Customer Login", "Login or Create an Account"
"Sign Out","Logout"
"Forgot Your Password","Forgot Your Password?"
"SHOPPING OPTIONS","SHOP BY"

